flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
225,560,207,173,119,0.2795,9.2003,0.6636,-0.0275,-0.0445,-0.0433,1
308,336,321,287,318,0.6553,9.7533,2.0271,0.0325,0.0467,-0.0642,O
557,570,156,159,107,0.5022,9.628,1.7375,0.0273,-0.0309,-0.0325,L
404,564,551,129,129,0.5007,8.8424,1.5832,0.0156,0.0336,-0.0583,K
299,379,170,177,121,0.5387,9.3689,1.3993,0.013,-0.0191,-0.128,9
192,185,171,202,111,0.4553,10.1783,1.094,0.0696,-0.036,0.0381,M
276,297,550,557,542,1.2406,9.299,1.1075,-0.0173,-0.0322,-0.0365,F
224,180,144,102,109,0.6143,9.8869,1.202,-0.0069,-0.0612,-0.0105,A
171,189,178,191,126,0.2069,9.8244,1.4469,0.0203,-0.0189,0.0348,N
247,562,176,154,123,0.2222,9.7824,0.4746,-0.0203,-0.0408,-0.0358,1
207,121,109,136,56,0.5644,9.6968,0.5102,0.0095,0.0258,0.047,S
202,430,452,149,114,-0.085,9.5249,0.0902,0.0246,-0.0278,-0.0205,R
224,562,530,555,101,0.8183,9.2286,1.1508,0.0432,0.0386,0.0237,W
220,524,562,146,125,0.4891,9.3107,0.6415,0.0563,-0.1035,0.0709,U
413,547,516,180,95,0.11,6.8642,5.4139,-0.055,0.0122,-0.0173,P
210,540,177,167,112,2.9041,7.2891,4.6059,0.0009,0.0496,0.0397,Z
221,576,545,145,119,0.673,9.1059,1.2934,0.0561,0.0704,0.0196,V
349,282,342,337,286,0.6219,9.5773,0.9439,-0.0593,0.1032,-0.0093,O
200,230,185,136,140,0.8231,9.7588,1.3174,0.0397,0.0353,-0.0259,N
220,549,552,177,140,-0.0118,9.3976,1.0773,-0.0391,0.0246,0.042,U
247,230,531,593,570,1.1752,9.6487,0.9774,-0.0191,0.0294,0.0219,F
521,562,514,170,125,1.0229,9.5098,1.2544,0.0256,-0.0052,0.0557,3
555,567,568,545,567,0.3398,9.864,0.9603,0.006,-0.0013,0.0231,5
212,191,192,208,110,0.3686,9.727,0.6363,0.0326,0.0239,-0.0051,M
178,545,557,548,580,-0.0924,9.1641,1.1288,0.0309,0.0045,-0.0167,4
331,347,372,394,350,1.0983,9.2857,1.2567,0.0183,-0.037,0.0432,C
561,171,143,156,572,1.1851,9.8433,1.3596,-0.033,0.0865,0.03,Y
171,203,166,156,141,0.7303,9.5239,0.636,0.0855,-0.0097,-0.0033,M
385,573,568,138,152,0.3075,9.2665,1.3238,-0.0026,0.095,-0.0426,K
236,527,178,187,129,0.5741,9.7421,0.6714,0.0747,-0.0777,-0.0383,1
358,377,352,326,348,0.9203,8.88,1.4656,0.0132,-0.0075,-0.0632,C
277,533,186,147,137,2.2202,7.8463,4.1416,0.012,-0.1003,-0.0206,Z
186,172,156,170,585,-0.3231,9.8392,0.3383,0.0614,-0.0319,-0.0609,I
244,507,256,189,180,0.2877,9.5561,1.1019,-0.0529,0.013,-0.0289,D
303,323,360,339,332,0.4638,8.8339,1.4614,0.0521,-0.0593,0.0374,O
180,552,569,572,148,0.591,9.5242,0.9982,0.0423,-0.0334,0.034,W
373,394,353,335,366,0.5858,8.8692,1.4227,-0.0035,0.0345,-0.0342,C
401,566,549,201,130,0.2078,9.626,1.0972,0.0569,0.0224,0.1238,K
283,550,564,165,133,5.3425,6.7783,1.934,0.0817,-0.0098,-0.0634,H
190,518,174,146,106,3.0165,7.6278,4.1355,0.1207,-0.0184,-0.0972,Z
337,545,112,159,130,4.2149,7.4002,1.7859,0.0164,-0.0113,-0.0644,G
189,160,179,171,561,0.2892,9.7036,0.6595,0.0411,-0.0538,-0.0206,I
215,454,494,132,111,0.5724,9.6292,0.8636,0.0356,-0.0445,0.0528,R
415,577,526,169,116,0.529,9.6294,0.7039,-0.0451,0.0256,0.0012,K
176,187,157,156,598,0.4568,9.8776,1.2065,-0.0325,0.0625,-0.0251,I
214,575,564,577,571,0.3822,9.6154,0.7049,-0.0003,-0.052,-0.0042,4
315,554,369,534,532,0.0883,9.2442,0.3877,0.0238,-0.0645,-0.0672,8
243,232,549,567,570,0.617,9.5437,1.1918,-0.0715,-0.071,-0.0102,F
297,534,366,550,569,0.8166,9.3779,1.2797,0.0071,0.0512,0.0616,8
241,540,552,578,135,0.4736,9.8385,1.0589,-0.0848,-0.039,0.0568,W
191,575,520,192,110,-0.0684,9.5834,0.5947,0.0049,-0.0439,-0.0157,U
223,149,142,136,102,1.221,9.4827,1.0603,0.0525,0.0553,0.0594,A
233,554,172,166,160,0.282,9.9494,1.1256,0.0327,-0.0142,-0.0367,1
169,163,185,194,554,1.502,8.7521,2.9172,0.0472,0.0141,-0.0442,J
190,553,542,520,593,0.459,9.3895,0.9053,-0.0565,0.019,0.0371,4
251,139,154,136,93,0.1914,9.6122,1.0956,-0.0362,0.0513,0.0853,S
218,195,179,207,138,0.0535,9.4955,0.7006,0.0614,0.0102,0.0363,M
199,219,177,175,147,0.5983,9.242,0.6406,0.0845,0.0206,0.0394,M
226,588,129,157,95,3.0943,8.023,3.6723,0.1087,-0.018,-0.1103,Z
406,515,576,163,144,0.3303,7.0572,6.3387,0.0066,0.0084,-0.0397,P
554,564,560,165,121,0.3426,9.7614,0.8465,-0.027,0.0206,-0.0491,3
154,555,558,553,565,0.71,10.0215,0.5572,0.0471,-0.0516,0.0199,B
342,274,347,313,314,0.7236,8.9392,1.8268,-0.0062,0.0727,-0.0451,O
527,583,550,534,560,0.4505,9.7123,0.4336,-0.0348,0.0241,0.0389,5
198,560,180,166,130,2.8464,7.9033,3.9677,-0.0213,0.0444,-0.0436,Z
240,570,227,222,148,0.0963,9.4558,0.2375,-0.0579,-0.099,-0.0019,D
209,521,548,168,136,0.7808,9.8447,0.2565,-0.0618,0.0203,-0.0227,U
293,532,532,353,581,0.3923,9.782,1.247,0.0801,0.0401,0.0106,7
256,130,119,109,82,0.4901,10.0384,0.8447,0.0112,-0.0008,0.0594,A
235,595,165,175,137,-0.483,9.8475,0.6325,-0.0624,-0.0894,0.0214,1
253,557,172,164,114,3.365,7.5751,3.707,-0.0389,0.0126,-0.0008,Z
307,565,344,541,549,0.7102,10.0182,1.9568,0.0431,0.0562,-0.0865,8
187,565,523,540,572,0.9202,9.5574,1.0486,0.0668,0.0477,0.0374,4
257,269,551,545,545,0.2745,9.0593,1.3216,-0.026,-0.1289,0.0222,F
331,335,319,337,299,0.2749,9.6292,1.3699,0.0459,-0.0077,-0.0684,O
270,269,566,539,551,0.8376,9.4757,0.9281,0.0653,-0.0849,0.0392,F
189,533,565,154,135,0.4252,9.8669,0.606,-0.1276,0.0198,-0.0785,U
219,227,253,229,211,0.3029,9.5043,1.2733,0.0806,0.0365,-0.0042,E
336,522,541,577,349,0.0707,9.8445,1.298,-0.0173,0.0243,0.0006,6
197,174,212,210,139,0.3133,9.8812,0.7172,-0.0362,0.0595,0.0159,M
294,549,145,169,107,0.7233,6.7795,6.7845,0.0954,0.0001,0.0656,Q
556,542,547,545,553,0.7497,10.2129,0.8462,-0.0229,-0.0045,-0.0688,5
320,141,148,165,126,0.8182,9.3899,0.7333,0.0329,-0.049,-0.0395,T
377,369,404,348,361,0.8412,8.7392,1.4967,0.0069,0.1459,-0.0092,C
329,356,159,204,109,0.7222,8.9298,0.9402,0.0369,-0.0707,0.0438,9
338,156,141,189,112,0.2479,9.5327,0.5583,-0.0774,-0.0216,0.0413,T
196,144,150,169,516,0.7927,9.6131,0.4121,-0.0509,0.0496,0.0301,I
374,353,330,356,370,0.8989,8.7461,1.7777,-0.0165,-0.0255,0.0075,C
309,573,543,177,102,4.5669,6.8552,2.4314,0.0034,0.0145,0.0139,H
518,551,537,180,120,0.9074,9.2834,1.0431,-0.0992,-0.0027,0.0036,3
552,520,139,155,142,-0.123,9.6365,1.392,-0.0112,0.0127,0.0135,L
237,540,209,151,142,2.6167,7.857,3.8232,-0.0684,-0.0287,0.018,Z
560,547,547,536,548,0.8371,9.3925,1.8292,-0.058,0.0184,0.0113,5
530,203,147,180,570,0.2584,9.439,1.2478,0.0035,0.0412,-0.0279,Y
188,559,566,182,103,1.088,9.9001,0.628,0.0082,-0.0849,-0.0308,2
379,544,527,538,347,0.826,9.1592,0.9103,-0.0241,-0.0061,0.0337,6
228,567,168,163,120,2.9629,7.598,4.0534,0.0526,-0.0436,0.0009,Z
247,229,578,537,564,0.7812,9.8536,1.1538,-0.027,0.0087,0.0642,F
228,144,142,145,119,0.559,9.7127,0.9731,0.072,-0.0338,0.09,A
178,168,199,153,91,-0.061,9.5299,0.7383,-0.0122,-0.0191,-0.0738,N
218,452,462,160,120,0.0883,9.6404,0.909,0.0125,-0.0051,0.0206,R
413,520,552,170,108,0.362,6.1297,5.8998,-0.0218,0.0701,-0.0302,P
408,543,552,155,115,0.4598,9.5167,1.3192,-0.0207,-0.099,-0.0182,K
219,154,133,102,118,0.2283,9.3039,0.8213,0.0687,-0.1068,0.1569,A
333,549,557,376,532,0.2437,9.8414,0.3857,0.0559,-0.0294,0.1028,7
211,509,541,126,126,0.4589,9.5439,1.4515,-0.0103,0.0865,0.0148,2
202,580,540,177,109,0.4649,9.6508,0.8075,0.0087,0.0208,-0.0113,U
211,550,576,191,118,0.5556,9.2729,1.8346,0.0025,0.0117,0.0553,V
230,541,519,176,113,0.5941,9.8044,1.619,-0.0405,-0.0595,0.0483,V
372,360,362,360,369,1.1256,9.0662,1.1187,-0.0189,0.0449,0.0019,C
186,591,176,154,135,3.1341,7.901,4.1182,0.0203,0.0546,0.0035,Z
218,425,468,153,110,0.6302,9.9054,1.1942,-0.0094,-0.0217,0.0402,R
190,191,184,131,96,0.0761,9.7617,0.8867,-0.0008,-0.0442,0.0171,N
335,368,148,207,159,0.5571,8.9913,1.3862,-0.0295,0.0437,0.0115,9
220,188,153,195,559,1.0768,9.6434,0.9729,0.07,0.0639,0.0255,I
299,502,551,386,540,0.2066,9.8976,1.1669,-0.0164,0.0148,-0.0313,7
301,558,167,158,99,4.8596,6.656,1.7999,0.0017,0.0179,0.089,G
335,544,351,552,580,0.2228,10.0826,0.9785,0.0256,0.0081,-0.0198,8
209,215,164,150,138,0.3445,9.688,0.6919,0.0775,0.1304,0.0052,N
351,540,527,541,368,0.7709,9.3472,1.1505,-0.0517,0.0198,-0.0692,6
202,550,558,537,134,0.4911,9.3868,0.9967,0.0499,-0.0473,0.014,W
235,145,105,160,120,0.3123,9.6187,1.1482,0.013,-0.0275,-0.0336,A
312,539,365,552,563,0.847,9.1526,1.062,-0.02,-0.0623,-0.0629,8
197,171,167,161,548,2.1548,8.959,2.8496,-0.051,-0.0568,-0.0433,J
235,555,184,175,119,3.1744,7.6041,3.3948,-0.0306,0.004,-0.0406,Z
301,571,564,377,552,0.6129,9.651,0.6351,-0.0123,-0.0086,0.0748,7
280,353,170,140,117,0.0677,9.833,1.1751,-0.0726,-0.045,-0.0323,9
270,142,153,144,114,0.3608,9.7313,0.6996,-0.003,-0.0916,0.0016,S
153,224,226,222,138,0.0203,9.2756,1.0875,0.0145,-0.0085,0.0318,E
206,218,204,203,165,0.2469,9.8308,1.0533,-0.0265,0.0402,-0.0416,E
269,141,124,133,64,0.2916,9.3772,0.8428,0.0076,-0.0411,0.0561,A
301,542,368,542,552,0.0841,9.6517,0.9873,-0.024,-0.0519,0.1168,8
200,168,169,125,141,0.1813,9.8461,0.9211,-0.0501,-0.006,-0.0227,N
200,193,215,177,108,0.1162,9.2972,1.6084,0.0318,-0.0298,-0.0338,N
379,364,371,346,341,0.8624,9.257,2.0032,-0.0403,0.0538,-0.1085,C
202,462,463,182,126,0.5323,9.72,1.1178,-0.0468,0.0453,-0.0931,R
392,353,349,364,359,0.8818,9.1613,1.5919,-0.0499,0.0259,0.0432,C
312,525,370,570,536,0.5588,9.8931,1.4119,-0.0937,0.0544,-0.0157,8
566,547,533,170,122,0.759,9.5062,0.3573,-0.1175,-0.0355,0.0226,3
341,152,124,140,150,0.6637,9.4726,1.0487,-0.0514,0.0645,-0.036,T
403,523,540,178,114,-0.0446,6.7745,5.84,-0.0541,0.0109,-0.004,P
410,559,556,159,120,0.7367,6.6113,6.4462,-0.0138,-0.0657,-0.0273,P
249,112,134,134,85,0.17,9.6675,1.1365,0.0938,0.069,-0.0597,S
194,344,157,170,158,0.0842,9.1997,0.5647,0.0287,0.0062,-0.0482,X
228,199,186,206,142,0.1636,9.6253,0.9906,-0.0075,0.0067,-0.0409,N
295,528,593,153,139,5.5818,7.237,1.9099,-0.0034,-0.0416,0.0441,H
293,554,568,145,117,4.7806,6.2736,2.0425,0.0467,0.0508,-0.0435,H
331,360,352,354,312,0.5977,9.0605,1.3753,-0.0561,-0.0436,-0.0363,0
202,158,191,150,568,1.8534,8.4155,2.8764,0.0369,0.0459,0.0279,J
279,554,546,183,146,5.3956,6.6646,1.7648,0.0557,-0.0296,-0.0761,H
416,570,557,168,148,0.6006,9.563,1.0617,0.0269,-0.0336,-0.0357,K
353,148,172,145,167,0.8679,10.1221,1.6572,-0.0317,-0.0442,0.1013,T
289,144,154,151,107,0.4054,9.7277,0.7682,-0.0118,-0.0243,0.0041,A
395,561,565,175,141,0.5395,7.352,5.3185,0.0427,0.0988,-0.0311,P
237,534,221,240,208,0.3103,9.4913,1.0843,0.0337,-0.0309,-0.0397,D
221,550,568,183,115,0.3797,9.2998,1.2507,0.0133,0.0497,-0.0182,2
291,521,154,153,151,0.7597,6.7788,6.9194,0.0063,0.053,0.0664,Q
307,513,177,156,106,0.5998,6.889,6.8784,-0.0446,0.1111,0.0427,Q
305,572,571,340,556,0.2202,9.8539,0.9777,0.0074,0.0241,-0.0607,7
330,170,182,154,118,0.2771,9.312,1.3597,-0.0382,-0.0294,0.0156,T
550,541,168,176,124,0.3618,9.2972,0.8106,0.0142,-0.0605,0.0315,L
208,516,563,184,115,0.7514,9.1562,1.4345,-0.041,-0.055,0.0684,V
240,547,169,169,144,3.2216,7.8578,4.3477,-0.0495,-0.0592,-0.0146,Z
246,549,558,160,142,0.3727,9.8917,-0.0611,0.005,0.0131,0.0152,2
216,565,205,211,155,-0.0972,10.1423,1.2924,0.0033,0.0831,-0.008,D
552,139,130,135,582,0.4022,9.5353,1.4224,-0.0789,0.0433,-0.0444,Y
319,539,160,156,123,0.879,6.5946,6.013,0.006,-0.0248,0.018,Q
307,553,572,170,125,4.7151,7.4497,2.2787,-0.0623,0.0019,0.0072,H
196,548,527,587,588,0.4037,9.4563,0.4853,-0.008,0.0165,0.0726,B
175,162,174,159,546,1.6723,8.7563,3.2708,-0.0104,0.0383,-0.1483,J
535,184,159,132,547,0.6151,9.0567,1.8483,0.0543,0.0334,0.0515,Y
311,548,366,523,526,0.3835,9.3891,0.8352,-0.0103,0.03,0.0441,8
193,183,173,197,137,0.3364,9.4311,0.9785,-0.0095,-0.0595,0.0518,M
412,538,542,168,122,0.401,7.242,5.8446,-0.0666,-0.0763,0.0719,P
326,308,319,331,313,1.1164,9.0054,1.4865,-0.1032,0.0165,-0.0671,O
530,545,159,152,121,0.352,9.1053,1.7569,-0.0091,0.0101,0.0082,L
373,537,531,529,335,0.2915,9.7471,1.321,-0.0639,-0.0206,-0.0015,6
223,523,567,551,110,0.3745,9.3606,0.7858,0.0335,0.0483,0.0059,W
212,358,182,168,110,0.7927,9.2678,0.6618,-0.0438,0.0153,0.0486,X
171,533,559,533,552,0.1115,9.9927,0.7755,-0.0623,0.0027,-0.0355,B
204,348,155,155,117,0.2888,9.5275,0.7308,0.042,0.0706,-0.0972,X
365,377,343,365,356,0.7846,8.8236,1.5692,-0.0567,0.0175,-0.0448,C
214,545,547,162,142,0.2967,9.607,1.0396,0.0004,0.0328,-0.0223,2
365,150,172,160,128,0.5104,8.8748,1.3956,-0.0049,-0.0252,0.0234,T
236,549,546,159,124,1.3007,9.4394,1.5781,-0.0131,0.0864,0.0421,V
256,267,573,548,563,0.5711,9.7712,1.1227,0.0642,-0.0052,-0.043,F
178,541,556,542,119,0.5462,9.2562,1.1199,-0.0663,-0.0259,0.0942,W
143,536,568,539,576,0.7098,9.5795,0.7044,-0.0577,0.0377,0.01,B
215,545,516,146,98,0.644,10.18,0.4757,-0.0102,-0.0124,0.0342,2
290,533,369,558,552,0.1483,10.1455,0.8677,-0.0297,-0.0787,0.0259,8
187,540,547,155,96,0.5325,9.3879,0.9468,-0.034,-0.0249,0.0217,U
148,566,538,554,574,0.1899,9.8364,0.3451,-0.0098,-0.0103,-0.0373,B
424,557,552,152,156,0.626,7.1809,6.36,-0.0509,0.0642,-0.0132,P
187,173,147,165,538,0.3248,9.561,0.5587,0.0083,0.0079,0.0588,I
245,164,115,140,124,0.041,9.6785,0.7022,0.1164,-0.0946,-0.0759,S
220,547,556,513,137,0.5086,9.5485,0.7113,-0.0617,-0.0937,0.0073,W
316,543,146,187,117,0.2517,6.9763,6.3475,0.1107,0.053,-0.0295,Q
230,548,553,170,130,0.5778,9.6137,0.6514,0.0131,-0.0118,0.0726,2
309,562,173,191,110,0.4302,6.7344,6.8832,-0.0251,0.0578,0.0726,Q
316,523,543,198,148,4.5387,6.9833,2.1089,-0.0381,-0.1155,0.0049,H
217,583,147,152,140,2.524,7.9878,4.0425,0.0217,0.0174,0.0994,Z
192,164,137,135,561,-0.1211,9.0994,0.6665,-0.0244,-0.0439,-0.0352,I
413,558,535,154,123,0.2857,7.2064,5.6075,-0.0575,-0.0149,-0.0683,P
232,443,484,147,129,0.2813,10.0213,0.9481,-0.0385,-0.038,-0.0167,R
213,390,157,164,114,0.3955,9.748,1.1468,0.0709,-0.0605,-0.0378,X
269,256,557,549,561,0.3265,9.697,0.8532,-0.0554,0.0184,0.0801,F
252,235,609,547,554,0.634,9.3272,1.2368,0.0643,-0.0062,-0.0581,F
164,172,184,178,127,-0.0279,9.4836,0.7856,0.0324,0.0622,-0.0131,M
359,323,322,358,309,0.5648,9.2225,0.9962,0.0099,0.0558,-0.0031,O
191,193,194,246,116,0.5462,9.757,0.5964,0.0403,-0.0082,0.0438,M
226,526,540,545,126,0.4717,9.2985,1.2657,0.0752,0.0107,0.0314,W
415,561,540,136,146,0.064,9.5814,0.9604,0.0081,0.0826,0.1519,K
217,136,143,146,75,0.0398,9.8833,1.0997,-0.0374,0.0776,0.0058,A
167,253,241,216,184,0.7089,10.0947,1.2861,0.1086,-0.0461,-0.041,E
277,293,549,535,562,0.4348,9.215,1.33,-0.0802,-0.0722,0.001,F
167,573,506,507,551,0.5292,9.2303,-0.4023,0.0286,0.0122,-0.0545,B
341,546,543,561,349,0.5266,9.4981,1.0608,-0.0498,0.1107,-0.0039,6
210,533,612,167,102,0.0695,9.6321,0.3911,0.0934,0.0395,0.0157,2
163,570,550,567,551,0.6444,9.115,1.0916,-0.0039,-0.0693,-0.1411,4
375,344,386,366,363,1.0246,8.4743,1.2418,0.0336,0.0083,0.059,C
319,339,374,324,354,0.5989,9.3967,1.5783,-0.0848,0.0227,-0.1216,0
238,365,175,172,114,0.1061,9.2854,0.9757,0.0796,-0.0024,0.0187,X
338,205,171,157,126,0.0484,9.8693,1.0945,0.0166,-0.0532,0.039,T
293,135,159,159,93,0.1934,9.3462,1.1245,-0.0575,-0.0227,0.0599,S
318,546,373,576,569,0.0353,9.3108,1.232,-0.0034,-0.0273,-0.0545,8
535,544,585,154,142,0.8148,9.7561,1.1113,-0.0554,-0.0325,-0.0583,3
178,552,521,535,558,0.1773,10.2918,0.0842,0.0253,0.0745,0.1136,B
171,535,552,556,560,-0.4259,9.7481,1.1638,-0.018,-0.0364,0.0187,B
255,126,144,133,115,0.4844,9.3487,0.7555,-0.0302,0.008,-0.0186,S
209,372,162,152,149,0.2008,9.7268,1.0204,-0.0086,-0.0278,-0.0493,X
256,236,546,545,578,0.6928,9.8837,1.5592,-0.0228,-0.0898,0.0693,F
189,165,199,141,581,0.6213,9.8563,1.1875,0.014,-0.0291,0.0547,I
212,551,182,145,155,0.3078,9.8235,0.6638,-0.0038,-0.0405,0.0047,1
226,539,540,165,117,0.0308,9.1,1.823,0.0036,0.0039,-0.0382,V
204,511,592,162,137,0.1494,9.7577,1.0321,0.0468,-0.0041,0.0508,2
253,93,147,133,121,0.3498,9.5729,0.9195,-0.0437,-0.0203,-0.0602,S
573,534,163,190,115,0.8162,9.9924,1.5513,-0.0264,-0.0386,0.0652,L
352,362,336,321,306,0.4214,9.7243,1.14,-0.0919,0.0181,0.0291,O
259,133,161,153,118,1.1756,9.6642,1.0977,0.0679,0.0994,-0.0306,S
210,543,199,226,236,0.5344,9.3407,1.1407,-0.0158,0.0687,0.0403,D
529,567,172,169,140,0.3922,9.4456,1.503,-0.0006,-0.0336,-0.0621,L
202,554,563,127,140,0.2879,9.4313,0.4018,-0.0537,0.0882,0.0425,2
592,547,565,544,545,0.1145,9.6061,1.3884,-0.0163,0.0711,0.0915,5
170,153,170,163,558,0.8812,9.8193,1.0557,-0.0083,0.011,-0.0216,I
295,372,198,173,140,0.4677,9.5579,0.5556,-0.0361,0.0352,0.0361,9
200,536,531,171,144,-0.0932,9.6616,0.5406,0.0874,0.0281,-0.0176,2
285,135,146,138,85,0.344,9.8539,1.215,-0.0309,-0.0694,0.0103,S
221,131,155,138,102,0.3764,9.3537,0.8702,0.0197,-0.021,0.0145,A
277,375,173,151,132,0.3637,9.252,0.77,0.0022,-0.0258,0.0189,9
188,569,526,561,583,0.316,10.0273,1.1037,0.0512,0.0125,0.0523,B
213,534,236,236,195,0.5029,9.5887,0.8702,0.0582,0.0313,-0.0085,D
338,125,188,177,131,0.4493,9.702,1.6979,0.044,0.0148,-0.0614,T
210,551,153,152,107,2.3993,7.7848,4.1543,-0.0823,0.0253,0.116,Z
203,559,206,214,162,0.3561,9.5867,0.5813,-0.0095,0.009,-0.0407,D
183,526,160,190,155,0.5938,9.2383,0.5902,-0.043,-0.0034,0.0477,1
324,378,327,322,332,0.5586,9.1545,2.1588,0.0488,0.0002,0.1201,O
197,226,215,243,157,0.2737,9.6344,1.1372,0.0676,0.0599,-0.0143,E
209,382,184,186,138,0.5923,9.1155,1.4199,0.0626,-0.069,0.0234,X
200,511,567,575,593,0.7422,10.3238,0.869,0.0403,-0.0126,0.0331,4
569,549,533,583,567,0.7644,9.6298,0.9351,-0.0435,-0.0091,0.0082,5
241,555,175,145,130,3.5617,8.4432,4.2416,0.0476,0.1217,0.0393,Z
338,139,144,180,108,0.0574,9.6741,0.6668,0.0509,0.0322,-0.0389,T
561,524,539,161,110,0.5414,9.4156,1.1461,0.0144,-0.0927,0.0736,3
221,551,172,169,135,2.8831,8.4708,3.5614,-0.0343,-0.0276,-0.036,Z
295,134,130,117,105,0.2462,9.4313,0.8925,0.036,0.0381,-0.0445,S
210,578,167,198,154,3.3393,8.4363,4.348,0.0852,0.0272,0.0343,Z
249,551,582,174,125,0.9722,8.7812,0.8837,0.013,0.0007,0.0967,V
278,560,196,159,123,5.1831,6.9012,2.5455,0.0096,-0.016,-0.027,G
192,549,160,125,134,3.2858,7.8731,3.9124,-0.0279,0.0193,-0.0125,Z
202,569,566,554,102,0.484,9.3088,1.4491,-0.0451,0.0578,0.0484,W
572,174,141,140,537,0.444,9.36,1.6248,-0.0507,-0.0089,-0.0028,Y
219,507,152,169,129,3.3121,7.9994,4.5526,-0.053,0.0259,-0.0514,Z
247,511,233,204,216,0.3426,9.3981,0.9989,0.0447,0.0321,-0.0515,D
384,580,575,160,111,0.2723,9.4113,1.1151,0.052,-0.0518,0.0505,K
237,548,544,173,130,-0.0515,9.469,0.6275,-0.0075,-0.0238,-0.0403,2
167,533,542,532,571,0.4575,9.6296,0.5115,-0.0724,-0.015,-0.0025,B
239,136,136,127,94,0.5923,8.9869,0.5955,0.0372,0.0085,-0.0092,A
398,549,513,121,129,-0.4308,6.9421,5.8869,0.0271,-0.0336,0.0785,P
550,522,532,186,134,0.3081,9.3881,0.7414,-0.0262,0.0512,-0.0091,3
188,579,174,151,140,2.9518,7.9127,3.712,0.0009,-0.0316,-0.0486,Z
235,357,155,181,138,0.2308,9.3763,1.0256,0.0165,0.0622,0.0266,X
309,590,165,153,176,5.1241,7.297,2.1776,0.0312,0.0268,-0.0551,G
366,382,373,364,346,0.9757,8.0489,1.5632,-0.0244,0.0796,0.001,C
535,158,161,180,552,0.321,9.5662,1.709,-0.0122,0.03,-0.0131,Y
227,535,541,160,155,1.0199,8.896,1.4829,-0.0736,0.0296,-0.0353,V
266,150,150,126,86,-0.047,9.6941,0.8831,-0.0151,0.0864,0.0299,S
146,566,568,516,543,-0.249,9.505,0.475,-0.0725,-0.0461,-0.0502,B
377,568,531,149,163,-0.0979,9.1231,0.8621,-0.012,-0.0447,-0.0579,K
203,559,550,181,130,-0.1312,9.451,0.4528,0.0282,0.0542,-0.0772,U
565,546,165,149,111,0.9498,8.868,1.1837,0.074,0.032,-0.0163,L
404,548,539,164,132,0.4844,9.5202,0.8171,-0.0441,-0.0188,0.0571,K
250,264,575,554,531,0.7516,9.0511,1.622,-0.0411,0.1485,0.0734,F
